SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark,Display
1,8,W81709354833861-WEd1a,Babhul Tree,Vachellia nilotica,19.29924075,76.49738565,32,18,5_10,14,Good,ward 8,Pravin More,Private,Good,Yes
2,8,W81709354842279-WEd1a,Babhul Tree,Vachellia nilotica,19.29771047,76.49761464,31,18,5_10,14,Good,ward 8,Pravin More,Private,Good,Yes
3,8,W81709354863968-WEd1a,Babhul Tree,Vachellia nilotica,19.29701778,76.50007524,37,21,5_10,17,Good,ward 8,Pravin More,Private,Good,Yes
4,8,W81709354869645-WEd1a,Babhul Tree,Vachellia nilotica,19.29531691,76.50410123,30,17,5_10,13,Good,ward 8,Pravin More,Private,Good,Yes
5,8,W81709354876207-WEd1a,Babhul Tree,Vachellia nilotica,19.29928474,76.50450356,33,19,5_10,15,Good,ward 8,Pravin More,Private,Good,Yes
6,8,W81709354878162-WEd1a,Babhul Tree,Vachellia nilotica,19.30085615,76.50351483,38,22,5_10,17,Good,ward 8,Pravin More,Private,Good,Yes
7,8,W81709354895419-WEd1a,Babhul Tree,Vachellia nilotica,19.30082292,76.49935272,34,19,5_10,15,Good,ward 8,Pravin More,Private,Good,Yes
8,8,W81709354903749-WEd1a,Babhul Tree,Vachellia nilotica,19.30059319,76.50136068,40,23,5_10,18,Good,ward 8,Pravin More,Private,Good,Yes
9,8,W81709354911964-WEd1a,Babhul Tree,Vachellia nilotica,19.29613586,76.50208186,33,19,5_10,15,Good,ward 8,Pravin More,Private,Good,Yes
10,8,W81709435585356-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29805823,76.49760425,69,39,10_50,31,Good,ward 8,Pravin More,Private,Good,Yes
11,8,W81709435587076-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29803102,76.49759486,68,39,10_50,30,Good,ward 8,Pravin More,Private,Good,Yes
12,8,W81709435587801-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29804557,76.49758112,59,34,10_50,26,Good,ward 8,Pravin More,Private,Good,Yes
13,8,W81709435588544-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29805317,76.49756335,61,35,10_50,27,Good,ward 8,Pravin More,Private,Good,Yes
14,8,W81709435592721-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29801646,76.49756838,66,38,10_50,30,Good,ward 8,Pravin More,Private,Good,Yes
15,8,W81709435593396-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29798513,76.49758045,34,19,10_50,15,Good,ward 8,Pravin More,Private,Good,Yes
16,8,W81709435594123-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29797881,76.49755798,66,38,10_50,30,Good,ward 8,Pravin More,Private,Good,Yes
17,8,W81709435594913-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29802437,76.49754155,34,19,10_50,15,Good,ward 8,Pravin More,Private,Good,Yes
18,8,W81709435602249-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29792976,76.49756871,69,39,10_50,31,Good,ward 8,Pravin More,Private,Good,Yes
19,8,W81709435603346-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29787691,76.49756335,68,39,10_50,30,Good,ward 8,Pravin More,Private,Good,Yes
20,8,W81709435607103-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29784115,76.49756871,62,35,10_50,28,Good,ward 8,Pravin More,Private,Good,Yes
21,8,W81709435608071-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29780856,76.49758413,53,30,10_50,24,Good,ward 8,Pravin More,Private,Good,Yes
22,8,W81709435608958-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29777977,76.49760123,45,26,10_50,20,Good,ward 8,Pravin More,Private,Good,Yes
23,8,W81709435624390-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29801456,76.4975097,68,39,10_50,30,Good,ward 8,Pravin More,Private,Good,Yes
24,8,W81709435625167-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29797184,76.49752278,44,25,10_50,20,Good,ward 8,Pravin More,Private,Good,Yes
25,8,W81709435625971-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29793988,76.49752881,46,26,10_50,21,Good,ward 8,Pravin More,Private,Good,Yes
26,8,W81709435626681-ZA33J,Burflower-tree,Neolamarckia cadamba,19.29789273,76.49753317,52,30,10_50,23,Good,ward 8,Pravin More,Private,Good,Yes
27,8,W81709435893497-ZA33J,Subabul Tree,Leucaena leucocephala,19.29755446,76.49778999,33,19,5_10,15,Good,ward 8,Pravin More,Government,Good,Yes
28,8,W81709435895981-ZA33J,Subabul Tree,Leucaena leucocephala,19.29751079,76.49787784,39,22,5_10,17,Good,ward 8,Pravin More,Government,Good,Yes
29,8,W81709435905609-ZA33J,Subabul Tree,Leucaena leucocephala,19.29744751,76.49806928,35,20,5_10,16,Good,ward 8,Pravin More,Government,Good,Yes
30,8,W81709435939697-ZA33J,Indian Jujube Tree,Ziziphus mauritiana,19.2974956,76.49792779,49,28,10_50,22,Good,ward 8,Pravin More,Government,Good,Yes
31,8,W81709435940940-ZA33J,Indian Jujube Tree,Ziziphus mauritiana,19.2974744,76.49798412,48,27,10_50,22,Good,ward 8,Pravin More,Government,Good,Yes
32,8,W81709435946294-ZA33J,Indian Jujube Tree,Ziziphus mauritiana,19.29744054,76.49810851,47,27,10_50,21,Good,ward 8,Pravin More,Government,Good,Yes
33,8,W81709435977600-ZA33J,Neem Tree,Azadirachta indica,19.2974244,76.49805453,34,19,10_50,15,Good,ward 8,Pravin More,Government,Good,Yes
34,8,W81709436003969-ZA33J,Subabul Tree,Leucaena leucocephala,19.29743421,76.49818126,51,29,10_50,23,Good,ward 8,Pravin More,Government,Good,Yes
35,8,W81709436005483-ZA33J,Subabul Tree,Leucaena leucocephala,19.29738991,76.49817288,46,26,10_50,21,Good,ward 8,Pravin More,Government,Good,Yes
36,8,W81709436006224-ZA33J,Subabul Tree,Leucaena leucocephala,19.29742884,76.49822753,39,22,10_50,17,Good,ward 8,Pravin More,Government,Good,Yes
37,8,W81709436017061-ZA33J,Subabul Tree,Leucaena leucocephala,19.2973877,76.49827447,48,27,10_50,22,Good,ward 8,Pravin More,Government,Good,Yes
38,8,W81709436021432-ZA33J,Subabul Tree,Leucaena leucocephala,19.29733359,76.4983137,39,22,10_50,17,Good,ward 8,Pravin More,Government,Good,Yes
39,8,W81709436022141-ZA33J,Subabul Tree,Leucaena leucocephala,19.29739846,76.49833649,65,37,10_50,29,Good,ward 8,Pravin More,Government,Good,Yes
40,8,W81709436032153-ZA33J,Nilgiri Tree,Eucalyptus globulus,19.2973627,76.49836298,42,24,10_50,19,Good,ward 8,Pravin More,Government,Good,Yes
41,8,W81709436061536-ZA33J,Subabul Tree,Leucaena leucocephala,19.29736017,76.498424,62,35,10_50,28,Good,ward 8,Pravin More,Government,Good,Yes
42,8,W81709436062602-ZA33J,Subabul Tree,Leucaena leucocephala,19.29733264,76.49847329,34,19,10_50,15,Good,ward 8,Pravin More,Government,Good,Yes
43,8,W81709436063470-ZA33J,Subabul Tree,Leucaena leucocephala,19.29733042,76.49854269,46,26,10_50,21,Good,ward 8,Pravin More,Government,Good,Yes
44,8,W81709436066970-ZA33J,Subabul Tree,Leucaena leucocephala,19.29728169,76.49857052,47,27,10_50,21,Good,ward 8,Pravin More,Government,Good,Yes
45,8,W81709436067973-ZA33J,Subabul Tree,Leucaena leucocephala,19.29735479,76.49861377,36,21,10_50,16,Good,ward 8,Pravin More,Government,Good,Yes
46,8,W81709436071178-ZA33J,Subabul Tree,Leucaena leucocephala,19.29727283,76.49863992,30,17,10_50,13,Good,ward 8,Pravin More,Government,Good,Yes
47,8,W81709436308405-ZA33J,Tamarind Tree,Tamarindus indica,19.29720132,76.49907142,31,18,10_50,14,Good,ward 8,Pravin More,Government,Good,Yes
48,8,W81709436309242-ZA33J,Tamarind Tree,Tamarindus indica,19.29720859,76.4990342,33,19,10_50,15,Good,ward 8,Pravin More,Government,Good,Yes
49,8,W81709436310226-ZA33J,Tamarind Tree,Tamarindus indica,19.29722283,76.49900135,48,27,10_50,22,Good,ward 8,Pravin More,Government,Good,Yes
50,8,W81709436311178-ZA33J,Tamarind Tree,Tamarindus indica,19.29723011,76.49894837,54,31,10_50,24,Good,ward 8,Pravin More,Government,Good,Yes
51,8,W81709436323709-ZA33J,Indian Jujube Tree,Ziziphus mauritiana,19.29708233,76.49952706,65,37,10_50,29,Good,ward 8,Pravin More,Government,Good,Yes
52,8,W81709436337160-ZA33J,Indian Jujube Tree,Ziziphus mauritiana,19.29730732,76.49869926,38,22,5_10,17,Good,ward 8,Pravin More,Government,Good,Yes
53,8,W81709436337906-ZA33J,Indian Jujube Tree,Ziziphus mauritiana,19.29728865,76.49879649,38,22,5_10,17,Good,ward 8,Pravin More,Government,Good,Yes
